Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
OR15316,West,Electronics,7/13/2023,7/13/2023,7/20/2023,Standard,68.0,Delivered,7
OR15317,West,Electronics,4/29/2024,5/4/2024,5/14/2024,Same Day,235.0,Delivered,10
OR15318,East,Grocery,2/11/2022,2/16/2022,2/26/2022,Express,222.0,Delivered,10
OR15319,North,Fashion,6/27/2022,6/29/2022,7/1/2022,Standard,113.0,Delivered,2
OR15320,South,Sports,1/4/2022,1/8/2022,1/14/2022,Standard,76.0,Delivered,6
OR15321,East,Sports,11/6/2022,11/7/2022,11/10/2022,Standard,98.0,Delivered,3
OR15322,West,Sports,3/9/2024,3/12/2024,3/17/2024,Same Day,352.0,Delivered,5
OR15323,North,Beauty,1/8/2025,1/13/2025,1/16/2025,Standard,125.0,Returned,3
OR15324,Central,Beauty,3/2/2022,3/2/2022,3/6/2022,Standard,64.0,Delivered,4
OR15325,South,Beauty,4/11/2025,4/12/2025,4/19/2025,Standard,148.0,Delivered,7
OR15326,West,Sports,1/13/2023,1/16/2023,1/26/2023,Standard,80.0,Delivered,10
OR15327,East,Electronics,11/11/2025,11/11/2025,11/21/2025,Standard,95.0,Delivered,10
OR15328,North,Beauty,7/31/2024,8/5/2024,8/13/2024,Standard,97.0,Delayed,8
OR15329,South,Electronics,12/27/2025,12/31/2025,,Express,136.0,Delivered,8
OR15330,North,Fashion,5/30/2023,6/2/2023,6/12/2023,Standard,137.0,Delivered,10
OR15331,Central,Home,1/3/2022,1/7/2022,1/9/2022,Standard,139.0,Delivered,2
OR15332,East,Sports,4/22/2023,4/25/2023,5/3/2023,Standard,122.0,Delayed,8
OR15333,North,Electronics,1/11/2025,1/12/2025,1/22/2025,Standard,94.0,Delivered,10
OR15334,West,Fashion,2/28/2022,3/5/2022,3/14/2022,Standard,90.0,Delivered,9
OR15335,East,Sports,11/24/2024,11/28/2024,12/3/2024,Standard,77.0,Delivered,5
OR15336,West,Home,11/5/2022,11/9/2022,11/18/2022,Standard,56.0,Delivered,9
OR15337,North,Sports,11/24/2025,11/28/2025,11/30/2025,Standard,109.0,Delivered,2
OR15338,East,Beauty,10/31/2025,11/3/2025,11/9/2025,Standard,91.0,Delivered,6
OR15339,West,Grocery,4/17/2025,4/17/2025,4/25/2025,Express,109.0,Delivered,8
OR15340,Central,Sports,6/3/2022,6/4/2022,6/7/2022,Standard,91.0,Delivered,3
OR15341,Central,Grocery,11/9/2023,11/12/2023,11/21/2023,Standard,77.0,Delivered,9
OR15342,North,Home,1/4/2023,1/7/2023,1/16/2023,Express,101.0,Delivered,9
OR15343,East,Grocery,12/27/2024,1/1/2025,1/4/2025,Express,82.0,Delivered,3
OR15344,South,Home,10/24/2025,10/25/2025,10/30/2025,Same Day,341.0,Delivered,5
OR15345,East,Fashion,12/12/2025,12/12/2025,12/22/2025,Standard,139.0,Delivered,10
OR15346,Central,Grocery,8/31/2022,8/31/2022,9/4/2022,Standard,110.0,Delivered,4
OR15347,West,Beauty,10/4/2022,10/5/2022,10/7/2022,Standard,80.0,Delayed,2
OR15348,South,Sports,11/12/2023,11/17/2023,11/25/2023,Same Day,236.0,Delivered,8
OR15349,North,Sports,3/30/2022,4/3/2022,4/7/2022,Standard,80.0,Delivered,4
OR15350,South,Fashion,7/6/2025,7/6/2025,7/16/2025,Standard,104.0,Delayed,10
OR15351,North,Electronics,8/25/2022,8/30/2022,9/3/2022,Standard,63.0,Delivered,4
OR15352,South,Beauty,11/8/2022,11/8/2022,11/10/2022,Express,96.0,Delivered,2
OR15353,North,Beauty,7/9/2022,7/14/2022,7/17/2022,Express,206.0,Delivered,3
OR15354,North,Home,11/26/2025,11/27/2025,12/4/2025,Standard,129.0,Delivered,7
OR15355,South,Beauty,12/30/2023,1/2/2024,1/5/2024,Standard,56.0,Delayed,3
OR15356,South,Electronics,6/1/2025,6/5/2025,6/11/2025,Same Day,224.0,Delivered,6
OR15357,North,Electronics,1/15/2022,1/18/2022,1/22/2022,Express,113.0,Delivered,4
OR15358,Central,Fashion,5/2/2025,5/2/2025,5/8/2025,Standard,110.0,Returned,6
OR15359,South,Fashion,2/5/2024,2/10/2024,2/19/2024,Express,$196.00,Delivered,9
OR15360,East,Grocery,11/19/2024,11/24/2024,11/29/2024,Standard,57.0,Delayed,5
OR15361,West,Beauty,4/5/2023,4/5/2023,4/7/2023,Same Day,332.0,Returned,2
OR15362,North,Grocery,4/5/2025,4/7/2025,4/10/2025,Express,93.0,Delivered,3
OR15363,North,Grocery,4/11/2024,4/16/2024,4/19/2024,Same Day,381.0,Delivered,3
OR15364,West,Grocery,6/12/2025,6/17/2025,6/25/2025,Standard,68.0,Delivered,8
OR15365,Central,Grocery,6/23/2025,6/26/2025,7/5/2025,Express,160.0,Delivered,9
OR15366,West,Sports,11/15/2022,11/16/2022,11/23/2022,Standard,105.0,Delivered,7
OR15367,South,Fashion,1/7/2022,1/10/2022,1/16/2022,Standard,146.0,Delivered,6
OR15368,West,Home,3/27/2022,3/28/2022,4/2/2022,Express,104.0,Delivered,5
OR15369,North,Home,9/13/2025,9/13/2025,9/22/2025,Express,111.0,Delayed,9
OR15370,West,Home,8/3/2022,8/3/2022,8/8/2022,Standard,61.0,Delivered,5
OR15371,East,Home,4/23/2024,4/27/2024,5/6/2024,Standard,93.0,Delayed,9
OR15372,South,Home,9/19/2022,9/22/2022,9/27/2022,Same Day,340.0,Delivered,5
OR15373,West,Sports,11/29/2023,11/29/2023,12/7/2023,Express,91.0,Delivered,8
OR15374,North,Fashion,7/31/2025,8/4/2025,8/6/2025,Standard,134.0,Delivered,2
OR15375,South,Beauty,9/18/2022,9/18/2022,9/23/2022,Same Day,215.0,Delivered,5
OR15376,North,Grocery,2/25/2022,3/1/2022,3/4/2022,Standard,143.0,Delivered,3
OR15377,Central,Grocery,9/25/2023,9/30/2023,10/5/2023,Standard,82.0,Delivered,5
OR15378,East,Grocery,5/25/2023,5/28/2023,6/1/2023,Express,245.0,Delivered,4
OR15379,Central,Fashion,12/5/2025,12/6/2025,12/16/2025,Same Day,238.0,Delayed,10
OR15380,East,Fashion,3/20/2023,3/24/2023,3/28/2023,Standard,102.0,Delivered,4
OR15381,West,Beauty,3/1/2025,3/1/2025,3/7/2025,Express,120.0,Delivered,6
OR15382,South,Sports,6/25/2023,6/27/2023,7/5/2023,Standard,146.0,Delivered,8
OR15383,West,Sports,9/15/2023,9/17/2023,9/24/2023,Standard,74.0,Delivered,7
OR15384,East,Beauty,9/20/2022,9/23/2022,9/25/2022,Standard,138.0,Delivered,2
OR15385,East,Grocery,12/10/2025,12/11/2025,12/13/2025,Standard,75.0,Delivered,2
OR15386,East,Beauty,7/4/2024,7/6/2024,7/11/2024,Express,128.0,Delivered,5
OR15387,North,Fashion,9/5/2025,9/10/2025,9/12/2025,Standard,81.0,Delivered,2
OR15388,South,Grocery,10/23/2025,10/25/2025,10/31/2025,Standard,80.0,Delivered,6
OR15389,West,Sports,7/9/2023,7/13/2023,7/18/2023,Standard,56.0,Delivered,5
OR15390,West,Beauty,12/22/2022,12/23/2022,1/2/2023,Express,158.0,Delivered,10
OR15391,Central,Grocery,4/7/2024,4/12/2024,4/22/2024,Standard,85.0,Delayed,10
OR15392,East,Sports,4/22/2023,4/24/2023,5/1/2023,Standard,148.0,Delivered,7
OR15393,East,Electronics,10/30/2023,10/31/2023,11/6/2023,Express,114.0,Delivered,6
OR15394,East,Home,2/9/2022,2/13/2022,2/23/2022,Same Day,232.0,Delayed,10
OR15395,West,Electronics,9/8/2025,9/13/2025,9/19/2025,Express,187.0,Delivered,6
OR15396,Central,Beauty,9/13/2024,9/14/2024,9/20/2024,Express,246.0,Delivered,6
OR15397,North,Grocery,9/7/2024,9/11/2024,9/17/2024,Standard,79.0,Delivered,6
OR15398,South,Grocery,3/15/2024,3/18/2024,3/22/2024,Standard,83.0,Delivered,4
OR15399,North,Fashion,12/21/2022,12/22/2022,12/27/2022,Standard,$67.00,Delivered,5
OR15400,West,Home,11/11/2022,11/12/2022,11/21/2022,Standard,94.0,Delivered,9
OR15401,East,Sports,3/23/2023,3/25/2023,4/1/2023,Standard,97.0,Delivered,7
OR15402,South,Grocery,12/14/2023,12/17/2023,12/23/2023,Standard,148.0,Delivered,6
OR15403,West,Sports,6/12/2022,6/13/2022,6/19/2022,Express,165.0,Delivered,6
OR15404,West,Sports,11/10/2022,11/12/2022,11/19/2022,Standard,100.0,Returned,7
OR15405,West,Sports,3/7/2025,3/9/2025,3/19/2025,Standard,71.0,Delayed,10
OR15406,South,Electronics,6/18/2025,6/22/2025,6/29/2025,Standard,91.0,Delivered,7
OR15407,South,Sports,6/3/2024,6/5/2024,6/12/2024,Standard,129.0,Delivered,7
OR15408,Central,Fashion,10/23/2023,10/28/2023,11/3/2023,Express,207.0,Delivered,6
OR15409,Central,Electronics,8/15/2025,8/15/2025,8/21/2025,Standard,124.0,Delivered,6
OR15410,North,Electronics,6/10/2025,6/14/2025,6/21/2025,Express,249.0,Delivered,7
OR15411,South,Grocery,8/4/2022,8/9/2022,8/16/2022,Standard,128.0,Delayed,7
OR15412,South,Home,10/14/2025,10/18/2025,10/26/2025,Standard,51.0,Delivered,8
OR15413,South,Home,5/9/2022,5/13/2022,5/18/2022,Standard,56.0,Delivered,5
OR15414,Central,Beauty,4/12/2025,4/15/2025,4/23/2025,Express,104.0,Delivered,8
OR15415,West,Grocery,2/24/2025,3/1/2025,3/8/2025,Standard,118.0,Delivered,7
OR15416,East,Home,7/15/2024,7/16/2024,7/22/2024,Express,161.0,Delivered,6
OR15417,Central,Sports,7/29/2023,7/31/2023,8/4/2023,Standard,144.0,Delivered,4
OR15418,South,Fashion,12/24/2025,12/29/2025,1/2/2026,Standard,141.0,Delivered,4
OR15419,Central,Sports,10/10/2022,10/12/2022,10/18/2022,Express,96.0,Delivered,6
OR15420,North,Home,12/3/2024,12/8/2024,12/11/2024,Standard,131.0,Delivered,3
OR15421,South,Home,6/23/2022,6/24/2022,6/26/2022,Express,219.0,Delivered,2
OR15422,North,Fashion,7/27/2023,7/31/2023,8/4/2023,Express,198.0,Delivered,4
OR15423,South,Electronics,3/9/2025,3/14/2025,3/23/2025,Same Day,291.0,Delivered,9
OR15424,Central,Electronics,6/4/2025,6/8/2025,6/15/2025,Express,246.0,Delayed,7
OR15425,West,Fashion,10/16/2025,10/21/2025,10/24/2025,Standard,77.0,Delivered,3
OR15426,East,Electronics,7/19/2025,7/24/2025,8/2/2025,Standard,137.0,Delayed,9
OR15427,North,Home,11/29/2025,12/4/2025,12/14/2025,Standard,66.0,Delivered,10
OR15428,Central,Electronics,9/4/2023,9/4/2023,9/7/2023,Express,138.0,Delayed,3
OR15429,West,Home,2/14/2025,2/14/2025,2/17/2025,Standard,145.0,Delivered,3
OR15430,Central,Grocery,7/11/2022,7/13/2022,7/23/2022,Standard,71.0,Delivered,10
OR15431,North,Sports,5/3/2022,5/7/2022,5/15/2022,Express,213.0,Delivered,8
OR15432,East,Electronics,9/26/2022,9/29/2022,10/4/2022,Standard,57.0,Delivered,5
OR15433,Central,Grocery,3/10/2023,3/11/2023,3/16/2023,Express,181.0,Delivered,5
OR15434,South,Beauty,5/8/2022,5/12/2022,5/14/2022,Standard,105.0,Delivered,2
OR15435,West,Electronics,7/3/2022,7/5/2022,,Standard,136.0,Delivered,9
OR15436,Central,Grocery,5/16/2022,5/17/2022,5/26/2022,Express,180.0,Delivered,9
OR15437,West,Fashion,5/23/2025,5/25/2025,6/4/2025,Express,172.0,Delivered,10
OR15438,South,Grocery,11/16/2023,11/18/2023,11/22/2023,Standard,59.0,Delivered,4
OR15439,East,Home,12/20/2022,12/21/2022,12/31/2022,Standard,104.0,Delayed,10
OR15440,East,Fashion,3/21/2025,3/21/2025,3/25/2025,Standard,97.0,Delivered,4
OR15441,South,Fashion,6/4/2024,6/9/2024,6/19/2024,Standard,80.0,Delivered,10
OR15442,West,Home,1/21/2022,1/24/2022,1/27/2022,Standard,140.0,Delivered,3
OR15443,Central,Electronics,10/15/2023,10/17/2023,10/20/2023,Standard,105.0,Delivered,3
OR15444,South,Fashion,8/22/2025,8/26/2025,9/5/2025,Standard,108.0,Delayed,10
OR15445,North,Electronics,3/11/2023,3/14/2023,3/23/2023,Standard,55.0,Delivered,9
OR15446,West,Sports,10/24/2024,10/28/2024,11/1/2024,Standard,,Delivered,4
OR15447,East,Grocery,7/18/2024,7/20/2024,7/29/2024,Same Day,354.0,Delivered,9
OR15448,South,Grocery,1/1/2025,1/6/2025,1/11/2025,Standard,61.0,Delivered,5
OR15449,East,Home,7/9/2024,7/9/2024,7/18/2024,Express,124.0,Delayed,9
OR15450,West,Home,4/15/2022,4/17/2022,4/23/2022,Standard,74.0,Delivered,6
OR15451,East,Beauty,9/26/2025,10/1/2025,10/4/2025,Standard,149.0,Delivered,3
OR15452,South,Grocery,5/12/2022,5/14/2022,5/24/2022,Express,191.0,Delivered,10
OR15453,West,Sports,11/16/2022,11/20/2022,11/22/2022,Standard,60.0,Delivered,2
OR15454,North,Home,4/27/2024,4/27/2024,5/6/2024,Express,131.0,Delivered,9
OR15455,South,Sports,1/25/2022,1/26/2022,1/28/2022,Standard,105.0,Delivered,2
OR15456,Central,Beauty,12/18/2025,12/18/2025,12/28/2025,Standard,98.0,Delivered,10
OR15457,South,Home,6/3/2023,6/7/2023,6/16/2023,Standard,73.0,Returned,9
OR15458,West,Fashion,11/16/2023,11/18/2023,11/22/2023,Standard,149.0,Delayed,4
OR15459,South,Beauty,10/4/2022,10/5/2022,10/11/2022,Standard,135.0,Delayed,6
OR15460,North,Electronics,11/5/2023,11/8/2023,11/13/2023,Express,115.0,Delivered,5
OR15461,North,Grocery,3/8/2023,3/8/2023,3/17/2023,Express,137.0,Delivered,9
OR15462,Central,Electronics,7/6/2024,7/10/2024,7/17/2024,Standard,65.0,Delivered,7
OR15463,East,Beauty,4/1/2022,4/4/2022,4/13/2022,Standard,82.0,Delivered,9
OR15464,West,Grocery,3/2/2022,3/7/2022,3/17/2022,Standard,141.0,Delivered,10
OR15465,West,Beauty,12/1/2022,12/5/2022,12/8/2022,Express,156.0,Delivered,3
OR15466,East,Home,9/23/2023,9/23/2023,9/26/2023,Standard,57.0,Delivered,3
OR15467,North,Electronics,6/17/2024,6/19/2024,6/27/2024,Standard,134.0,Delivered,8
OR15468,North,Beauty,9/15/2023,9/17/2023,9/26/2023,Same Day,208.0,Delivered,9
OR15469,South,Beauty,5/13/2025,5/18/2025,5/25/2025,Standard,91.0,Delivered,7
OR15470,Central,Sports,2/25/2022,3/1/2022,3/3/2022,Express,156.0,Returned,2
OR15471,Central,Beauty,5/1/2025,5/6/2025,5/16/2025,Standard,104.0,Returned,10
OR15472,Central,Home,5/28/2024,6/2/2024,6/6/2024,Standard,102.0,Delivered,4
OR15473,South,Beauty,8/8/2023,8/11/2023,8/20/2023,Standard,50.0,Delivered,9
OR15474,Central,Fashion,11/10/2023,11/12/2023,11/20/2023,Same Day,375.0,Delivered,8
OR15475,East,Electronics,11/15/2024,11/15/2024,11/23/2024,Standard,65.0,Delivered,8
OR15476,South,Electronics,7/21/2025,7/25/2025,7/29/2025,Standard,60.0,Delivered,4
OR15477,East,Fashion,9/13/2025,9/16/2025,9/21/2025,Express,226.0,Delivered,5
OR15478,South,Grocery,1/15/2022,1/18/2022,1/26/2022,Standard,83.0,Returned,8
OR15479,Central,Home,10/5/2022,10/10/2022,10/20/2022,Standard,79.0,Delivered,10
OR15480,East,Fashion,7/22/2024,7/27/2024,7/30/2024,Standard,142.0,Delivered,3
OR15481,East,Beauty,3/24/2024,3/29/2024,4/6/2024,Express,98.0,Delivered,8
OR15482,East,Sports,1/21/2022,1/22/2022,1/31/2022,Standard,76.0,Delayed,9
OR15483,South,Home,9/2/2024,9/4/2024,9/11/2024,Standard,142.0,Delivered,7
OR15484,West,Fashion,2/15/2022,2/16/2022,2/25/2022,Standard,60.0,Delivered,9
OR15485,Central,Fashion,3/30/2022,4/2/2022,4/5/2022,Standard,56.0,Delayed,3
OR15486,East,Electronics,5/23/2023,5/24/2023,5/30/2023,Same Day,357.0,Delivered,6
OR15487,West,Electronics,9/30/2022,10/2/2022,10/11/2022,Same Day,285.0,Delivered,9
OR15488,Central,Electronics,1/24/2025,1/26/2025,2/2/2025,Express,118.0,Delivered,7
OR15489,Central,Home,1/22/2024,1/23/2024,1/29/2024,Express,192.0,Delivered,6
OR15490,East,Beauty,12/25/2024,12/30/2024,1/4/2025,Standard,137.0,Delivered,5
OR15491,East,Grocery,6/15/2024,6/17/2024,6/19/2024,Express,123.0,Delivered,2
OR15492,South,Home,1/21/2024,1/24/2024,1/27/2024,Express,147.0,Delayed,3
OR15493,West,Electronics,8/6/2022,8/10/2022,8/20/2022,Standard,120.0,Returned,10
OR15494,West,Electronics,12/27/2025,12/28/2025,1/1/2026,Standard,99.0,Delivered,4
OR15495,East,Home,8/7/2025,8/7/2025,8/11/2025,Standard,128.0,Returned,4
OR15496,Central,Beauty,12/19/2024,12/21/2024,12/31/2024,Express,233.0,Delayed,10
OR15497,East,Beauty,7/9/2025,7/9/2025,7/15/2025,Standard,51.0,Delivered,6
OR15498,Central,Fashion,6/4/2024,6/9/2024,6/16/2024,Express,230.0,Delivered,7
OR15499,Central,Fashion,3/1/2023,3/2/2023,3/12/2023,Standard,89.0,Delivered,10
OR15500,East,Electronics,5/9/2025,5/10/2025,5/20/2025,Standard,96.0,Delivered,10
OR15501,North,Electronics,8/19/2023,8/19/2023,8/28/2023,Standard,103.0,Delivered,9
OR15502,West,Grocery,8/2/2024,8/5/2024,8/13/2024,Standard,75.0,Returned,8
OR15503,Central,Beauty,6/22/2023,6/26/2023,7/4/2023,Same Day,364.0,Delivered,8
OR15504,Central,Fashion,8/21/2022,8/23/2022,9/1/2022,Same Day,254.0,Delivered,9
OR15505,North,Grocery,6/11/2022,6/13/2022,6/17/2022,Standard,118.0,Delivered,4
OR15506,South,Electronics,1/21/2024,1/22/2024,1/26/2024,Express,172.0,Delayed,4
OR15507,North,Beauty,8/10/2022,8/10/2022,8/14/2022,Standard,120.0,Delivered,4
OR15508,North,Electronics,7/7/2025,7/11/2025,7/13/2025,Standard,77.0,Delivered,2
OR15509,Central,Grocery,12/25/2022,12/27/2022,12/30/2022,Same Day,391.0,Delivered,3
OR15510,West,Grocery,8/14/2022,8/19/2022,8/29/2022,Express,229.0,Delivered,10
OR15511,North,Electronics,9/22/2022,9/22/2022,10/1/2022,Standard,92.0,Delivered,9
OR15512,South,Sports,3/10/2022,3/11/2022,3/21/2022,Standard,54.0,Delayed,10
OR15513,East,Electronics,1/9/2022,1/13/2022,1/20/2022,Express,147.0,Delivered,7
OR15514,North,Fashion,10/8/2022,10/9/2022,10/14/2022,Standard,63.0,Delivered,5
OR15515,North,Beauty,5/3/2025,5/3/2025,5/6/2025,Standard,98.0,Delivered,3
OR15516,South,Beauty,3/3/2024,3/4/2024,3/10/2024,Standard,54.0,Delivered,6
OR15517,West,Electronics,11/3/2022,11/5/2022,11/10/2022,Standard,140.0,Delivered,5
OR15518,North,Home,5/26/2022,5/27/2022,5/31/2022,Standard,104.0,Delivered,4
OR15519,North,Electronics,3/19/2023,3/22/2023,3/24/2023,Express,245.0,Delivered,2
OR15520,West,Sports,4/25/2025,4/28/2025,5/4/2025,Standard,106.0,Delivered,6
OR15521,South,Fashion,11/5/2022,11/8/2022,11/13/2022,Express,116.0,Delivered,5
OR15522,North,Electronics,4/27/2023,4/29/2023,5/1/2023,Standard,97.0,Delivered,2
OR15523,West,Grocery,12/2/2025,12/3/2025,12/11/2025,Standard,118.0,Delivered,8
OR15524,North,Fashion,8/30/2022,9/1/2022,9/3/2022,Standard,121.0,Delivered,2
OR15525,East,Fashion,9/18/2025,9/21/2025,9/28/2025,Standard,70.0,Delivered,7
OR15526,Central,Sports,11/28/2025,12/3/2025,12/8/2025,Express,90.0,Delivered,5
OR15527,East,Beauty,8/6/2023,8/10/2023,8/17/2023,Express,167.0,Delivered,7
OR15528,North,Grocery,1/6/2023,1/9/2023,1/17/2023,Standard,51.0,Delivered,8
OR15529,South,Home,11/5/2023,11/10/2023,11/20/2023,Standard,93.0,Delivered,10
OR15530,Central,Electronics,2/23/2022,2/23/2022,3/2/2022,Standard,91.0,Delivered,7
OR15531,East,Home,7/31/2023,8/4/2023,8/13/2023,Standard,54.0,Delivered,9
OR15532,West,Beauty,6/22/2025,6/25/2025,6/29/2025,Standard,95.0,Delivered,4
OR15533,South,Grocery,7/19/2022,7/20/2022,7/25/2022,Standard,143.0,Delivered,5
OR15534,East,Fashion,3/11/2023,3/15/2023,3/18/2023,Express,148.0,Delivered,3
OR15535,West,Sports,10/28/2025,10/30/2025,11/8/2025,Same Day,343.0,Delivered,9
OR15536,North,Sports,11/9/2025,11/13/2025,11/21/2025,Standard,71.0,Delayed,8
OR15537,West,Fashion,10/27/2023,10/28/2023,11/2/2023,Standard,95.0,Delivered,5
OR15538,East,Sports,5/29/2025,5/31/2025,6/2/2025,Standard,58.0,Delivered,2
OR15539,East,Home,7/18/2023,7/21/2023,7/25/2023,Standard,114.0,Delivered,4
OR15540,North,Beauty,6/25/2025,6/30/2025,7/10/2025,Express,234.0,Delivered,10
OR15541,West,Fashion,12/30/2024,12/31/2024,1/8/2025,Same Day,353.0,Delivered,8
OR15542,West,Electronics,4/28/2023,5/2/2023,5/7/2023,Standard,91.0,Delivered,5
OR15543,North,Electronics,10/18/2023,10/18/2023,10/22/2023,Express,149.0,Delivered,4
OR15544,West,Grocery,6/22/2024,6/21/2024,6/25/2024,Standard,73.0,Delivered,4
OR15545,North,Beauty,11/21/2022,11/25/2022,11/30/2022,Express,161.0,Delivered,5
OR15546,South,Beauty,1/5/2022,1/7/2022,1/17/2022,Express,112.0,Delivered,10
OR15547,East,Fashion,8/6/2024,8/9/2024,8/16/2024,Standard,109.0,Delivered,7
OR15548,South,Beauty,10/15/2024,10/19/2024,10/22/2024,Standard,116.0,Delivered,3
OR15549,Central,Home,6/17/2025,6/18/2025,6/28/2025,Standard,126.0,Delivered,10
OR15550,Central,Beauty,7/2/2024,7/7/2024,,Standard,74.0,Delivered,3
OR15551,Central,Fashion,4/29/2025,5/2/2025,5/7/2025,Standard,65.0,Delivered,5
OR15552,North,Fashion,10/26/2024,10/27/2024,11/2/2024,Same Day,271.0,Delivered,6
OR15553,West,Home,9/4/2025,9/8/2025,9/13/2025,Standard,63.0,Delayed,5
OR15554,South,Sports,8/7/2024,8/7/2024,8/10/2024,Standard,101.0,Delivered,3
OR15555,South,Home,12/9/2025,12/13/2025,12/16/2025,Express,220.0,Delivered,3
OR15556,South,Fashion,11/3/2024,11/4/2024,11/14/2024,Express,222.0,Delivered,10
OR15557,South,Fashion,5/16/2025,5/17/2025,5/27/2025,Standard,69.0,Delivered,10
OR15558,Central,Fashion,1/2/2022,1/3/2022,1/11/2022,Express,160.0,Delivered,8
OR15559,South,Fashion,2/6/2023,2/6/2023,2/13/2023,Standard,72.0,Delivered,7
OR15560,West,Grocery,6/14/2023,6/14/2023,6/18/2023,Express,134.0,Delayed,4
OR15561,Central,Sports,11/24/2024,11/29/2024,12/5/2024,Standard,143.0,Delivered,6
OR15562,South,Fashion,8/31/2024,9/4/2024,9/7/2024,Standard,120.0,Delivered,3
OR15563,North,Grocery,2/1/2024,2/2/2024,2/7/2024,Standard,142.0,Delivered,5
OR15564,East,Beauty,3/23/2022,3/26/2022,3/28/2022,Standard,117.0,Delivered,2
OR15565,East,Fashion,4/30/2024,5/3/2024,5/6/2024,Express,237.0,Returned,3
OR15566,East,Sports,3/3/2024,3/7/2024,3/10/2024,Standard,132.0,Delivered,3
OR15567,Central,Sports,11/15/2025,11/18/2025,11/21/2025,Express,223.0,Delivered,3
OR15568,South,Home,6/17/2024,6/21/2024,6/25/2024,Standard,121.0,Delivered,4
OR15569,Central,Grocery,7/23/2023,7/27/2023,8/3/2023,Express,205.0,Delivered,7
OR15570,West,Beauty,11/28/2025,11/30/2025,12/6/2025,Standard,125.0,Delayed,6
OR15571,North,Sports,5/13/2022,5/17/2022,5/19/2022,Express,195.0,Delivered,2
OR15572,North,Electronics,9/2/2025,9/6/2025,,Express,203.0,Delivered,6
OR15573,East,Fashion,3/2/2024,3/2/2024,3/10/2024,Standard,121.0,Delivered,8
OR15574,East,Sports,6/12/2025,6/14/2025,6/16/2025,Standard,62.0,Delayed,2
OR15575,East,Beauty,5/8/2022,5/9/2022,5/17/2022,Express,106.0,Delayed,8
OR15576,South,Beauty,12/22/2024,12/25/2024,12/28/2024,Standard,102.0,Delivered,3
OR15577,West,Grocery,3/4/2023,3/8/2023,3/11/2023,Same Day,249.0,Delivered,3
OR15578,West,Grocery,12/10/2022,12/15/2022,12/19/2022,Express,196.0,Delivered,4
OR15579,West,Grocery,2/22/2025,2/26/2025,3/6/2025,Standard,53.0,Delivered,8
OR15580,West,Home,1/8/2025,1/9/2025,1/12/2025,Express,223.0,Delivered,3
OR15581,East,Beauty,4/5/2025,4/9/2025,4/13/2025,Express,121.0,Delayed,4
OR15582,North,Fashion,3/6/2024,3/6/2024,3/15/2024,Express,131.0,Delivered,9
OR15583,East,Electronics,11/4/2025,11/7/2025,11/9/2025,Express,96.0,Delivered,2
OR15584,West,Grocery,9/27/2023,10/1/2023,10/8/2023,Express,135.0,Delivered,7
OR15585,East,Fashion,12/18/2023,12/20/2023,12/25/2023,Same Day,326.0,Delivered,5
OR15586,West,Grocery,11/4/2024,11/9/2024,11/13/2024,Standard,106.0,Delayed,4
OR15587,Central,Grocery,2/2/2025,2/7/2025,2/11/2025,Standard,59.0,Delivered,4
OR15588,North,Beauty,8/7/2022,8/9/2022,8/11/2022,Standard,135.0,Delivered,2
OR15589,Central,Electronics,11/18/2025,11/19/2025,11/21/2025,Standard,102.0,Delayed,2
OR15590,South,Fashion,8/22/2023,8/27/2023,9/2/2023,Standard,72.0,Delivered,6
OR15591,East,Grocery,6/11/2024,6/16/2024,6/20/2024,Express,119.0,Delivered,5
OR15592,South,Beauty,12/23/2022,12/25/2022,1/3/2023,Standard,139.0,Delivered,9
OR15593,East,Home,1/2/2024,1/3/2024,1/7/2024,Standard,118.0,Delivered,4
OR15594,Central,Grocery,10/27/2022,10/31/2022,11/3/2022,Express,142.0,Delivered,3
OR15595,West,Beauty,6/13/2022,6/15/2022,6/23/2022,Standard,74.0,Delivered,8
OR15596,West,Fashion,6/14/2024,6/14/2024,6/18/2024,Standard,50.0,Delivered,4
OR15597,East,Sports,11/3/2023,11/4/2023,11/3/2023,Express,97.0,Delivered,-1
OR15598,West,Grocery,10/20/2025,10/22/2025,10/28/2025,Express,246.0,Delivered,6
OR15599,Central,Home,12/24/2024,12/27/2024,1/6/2025,Express,222.0,Delivered,10
OR15600,West,Home,2/8/2024,2/8/2024,2/17/2024,Express,140.0,Delayed,9
OR15601,Central,Grocery,2/21/2025,2/21/2025,3/3/2025,Express,227.0,Delivered,10
OR15602,South,Fashion,5/18/2025,5/19/2025,5/28/2025,Same Day,347.0,Delivered,9
OR15603,Central,Grocery,3/18/2022,3/20/2022,3/28/2022,Standard,121.0,Delivered,8
OR15604,North,Home,12/30/2023,1/2/2024,1/6/2024,Standard,145.0,Delivered,4
OR15605,North,Grocery,4/26/2024,4/28/2024,4/30/2024,Same Day,288.0,Delivered,2
OR15606,North,Home,11/12/2023,11/14/2023,11/24/2023,Express,211.0,Delivered,10
OR15607,East,Sports,10/24/2022,10/26/2022,11/5/2022,Standard,107.0,Delivered,10
OR15608,East,Grocery,10/30/2024,10/31/2024,11/6/2024,Standard,97.0,Delayed,6
