,Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
8547,OR18547,Central,Sports,2024-11-21,2024-11-24,2024-11-30,Express,192.0,Delivered,6
8548,OR18548,Central,Electronics,2022-06-18,2022-06-22,2022-06-29,Same Day,200.0,Delivered,7
8549,OR18549,East,Sports,2023-02-24,2023-02-27,2023-03-01,Standard,125.0,Delivered,2
8550,OR18550,South,Home,2022-03-27,2022-04-01,2022-04-07,Express,181.0,Delivered,6
8551,OR18551,Central,Fashion,2024-10-30,2024-10-31,2024-11-03,Standard,136.0,Delivered,3
8552,OR18552,North,Electronics,2024-05-08,2024-05-13,,Standard,65.0,Returned,5
8553,OR18553,East,Grocery,2023-06-13,2023-06-16,2023-06-24,Standard,92.0,Delivered,8
8554,OR18554,West,Sports,2022-12-18,2022-12-20,2022-12-25,Express,168.0,Delivered,5
8555,OR18555,North,Beauty,2024-09-30,2024-10-03,2024-10-13,Standard,78.0,Delivered,10
8556,OR18556,South,Electronics,2024-01-16,2024-01-18,2024-01-27,Same Day,369.0,Delayed,9
8557,OR18557,Central,Sports,2022-05-19,2022-05-23,2022-05-29,Standard,114.0,Delivered,6
8558,OR18558,North,Sports,2022-10-28,2022-10-29,2022-11-01,Standard,95.0,Delivered,3
8559,OR18559,West,Sports,2024-05-06,2024-05-06,2024-05-09,Standard,148.0,Delivered,3
8560,OR18560,West,Electronics,2022-05-07,2022-05-09,2022-05-17,Standard,146.0,Delivered,8
8561,OR18561,South,Electronics,2023-06-13,2023-06-15,2023-06-18,Standard,53.0,Delivered,3
8562,OR18562,North,Sports,2022-07-11,2022-07-11,2022-07-14,Standard,120.0,Delivered,3
8563,OR18563,East,Grocery,2023-04-20,2023-04-24,2023-04-28,Express,198.0,Delivered,4
8564,OR18564,North,Beauty,2022-07-26,2022-07-31,2022-08-02,Standard,128.0,Delivered,2
8565,OR18565,West,Fashion,2025-07-08,2025-07-09,2025-07-11,Standard,85.0,Delivered,2
8566,OR18566,South,Sports,2022-04-17,2022-04-17,2022-04-23,Standard,132.0,Returned,6
8567,OR18567,South,Grocery,2025-09-18,2025-09-20,2025-09-28,Same Day,377.0,Delivered,8
8568,OR18568,East,Fashion,2022-02-11,2022-02-12,2022-02-22,Express,222.0,Delayed,10
8569,OR18569,South,Sports,2023-12-25,2023-12-26,2023-12-28,Express,249.0,Delivered,2
8570,OR18570,South,Fashion,2022-12-14,2022-12-19,2022-12-23,Express,205.0,Delivered,4
8571,OR18571,South,Sports,2022-05-11,2022-05-11,2022-05-13,Standard,146.0,Delivered,2
8572,OR18572,South,Electronics,2025-01-25,2025-01-30,2025-02-02,Express,231.0,Delivered,3
8573,OR18573,South,Sports,2024-04-13,2024-04-14,2024-04-16,Same Day,309.0,Delivered,2
8574,OR18574,West,Sports,2023-05-20,2023-05-23,2023-05-26,Express,88.0,Delivered,3
8575,OR18575,North,Sports,2024-08-13,2024-08-14,2024-08-23,Standard,109.0,Delayed,9
8576,OR18576,Central,Sports,2025-08-01,2025-08-03,2025-08-06,Express,115.0,Delayed,3
8577,OR18577,South,Grocery,2024-06-21,2024-06-21,2024-06-28,Standard,51.0,Delivered,7
8578,OR18578,Central,Home,2023-10-06,2023-10-09,2023-10-16,Standard,120.0,Delivered,7
8579,OR18579,Central,Grocery,2025-04-16,2025-04-17,2025-04-22,Standard,137.0,Delivered,5
8580,OR18580,West,Grocery,2024-02-28,2024-03-02,2024-03-10,Standard,109.0,Delivered,8
8581,OR18581,South,Electronics,2025-05-25,2025-05-25,2025-06-01,Express,150.0,Delayed,6
8582,OR18582,Central,Sports,2023-01-28,2023-01-30,2023-02-01,Same Day,289.0,Delayed,2
8583,OR18583,South,Grocery,2024-08-29,2024-09-01,2024-09-09,Standard,119.0,Delivered,10
8584,OR18584,East,Fashion,2022-01-12,2022-01-12,2022-01-14,Standard,124.0,Delivered,2
8585,OR18585,East,Sports,2022-11-08,2022-11-12,2022-11-21,Express,221.0,Delivered,9
8586,OR18586,East,Electronics,2023-06-01,2023-06-03,2023-06-12,Same Day,212.0,Delivered,9
8587,OR18587,Central,Beauty,2022-06-26,2022-07-01,2022-07-10,Express,204.0,Delivered,9
8588,OR18588,East,Beauty,2025-07-23,2025-07-27,2025-08-03,Same Day,338.0,Delivered,7
8589,OR18589,West,Electronics,2023-10-02,2023-10-05,2023-10-14,Express,248.0,Delivered,9
8590,OR18590,West,Fashion,2022-10-12,2022-10-12,2022-10-14,Express,222.0,Delivered,2
8591,OR18591,Central,Beauty,2025-06-24,2025-06-27,2025-06-30,Standard,90.0,Delivered,3
8592,OR18592,South,Electronics,2025-05-19,2025-05-22,2025-05-28,Standard,64.0,Delayed,6
8593,OR18593,North,Beauty,2022-10-19,2022-10-23,2022-10-25,Standard,126.0,Delayed,2
8594,OR18594,South,Sports,2025-01-25,2025-01-28,2025-02-04,Standard,130.0,Delivered,7
8595,OR18595,South,Home,2023-10-10,2023-10-12,2023-10-17,Standard,135.0,Delivered,5
8596,OR18596,South,Home,2025-03-27,2025-03-29,2025-03-31,Standard,65.0,Delivered,2
8597,OR18597,South,Grocery,2025-04-27,2025-04-30,2025-05-04,Standard,98.0,Delayed,4
8598,OR18598,North,Electronics,2025-06-29,2025-07-02,2025-07-06,Standard,51.0,Delivered,4
8599,OR18599,East,Sports,2024-05-15,2024-05-17,2024-05-23,Standard,92.0,Delivered,6
8600,OR18600,South,Fashion,2022-12-17,2022-12-19,2022-12-27,Express,227.0,Delivered,8
8601,OR18601,West,Fashion,2024-10-14,2024-10-17,2024-10-21,Standard,140.0,Delivered,4
8602,OR18602,Central,Sports,2023-01-20,2023-01-25,2023-01-27,Standard,147.0,Returned,2
8603,OR18603,Central,Sports,2024-10-11,2024-10-16,2024-10-23,Standard,147.0,Delivered,7
8604,OR18604,West,Fashion,2024-02-25,2024-02-26,2024-03-03,Express,157.0,Delivered,6
8605,OR18605,South,Electronics,2022-11-07,2022-11-09,2022-11-12,Standard,56.0,Delivered,3
8606,OR18606,North,Beauty,2025-02-07,2025-02-08,2025-02-17,Same Day,266.0,Delivered,9
8607,OR18607,East,Grocery,2023-08-16,2023-08-17,2023-08-24,Standard,122.0,Delivered,7
8608,OR18608,Central,Grocery,2022-04-16,2022-04-20,2022-04-25,Standard,96.0,Delayed,5
8609,OR18609,East,Grocery,2023-06-27,2023-06-29,2023-07-09,Standard,109.0,Delivered,10
8610,OR18610,North,Sports,2022-03-05,2022-03-07,2022-03-10,Standard,110.0,Delivered,3
8611,OR18611,Central,Fashion,2025-07-23,2025-07-25,2025-07-29,Standard,115.0,Delivered,4
8612,OR18612,East,Fashion,2025-10-31,2025-11-02,2025-11-04,Express,91.0,Delivered,2
8613,OR18613,North,Fashion,2022-10-12,2022-10-16,2022-10-24,Standard,141.0,Returned,8
8614,OR18614,East,Beauty,2022-08-19,2022-08-23,2022-08-26,Express,232.0,Delivered,3
8615,OR18615,South,Fashion,2022-07-02,2022-07-02,2022-07-10,Standard,141.0,Delayed,8
8616,OR18616,North,Fashion,2024-07-14,2024-07-19,2024-07-29,Standard,65.0,Delivered,10
8617,OR18617,East,Home,2023-06-29,2023-07-04,2023-07-13,Standard,128.0,Delayed,9
8618,OR18618,South,Beauty,2023-10-20,2023-10-24,2023-10-26,Standard,147.0,Delivered,2
8619,OR18619,South,Sports,2024-08-02,2024-08-07,2024-08-14,Standard,127.0,Delivered,7
8620,OR18620,North,Beauty,2022-06-30,2022-07-02,2022-07-07,Express,148.0,Returned,5
8621,OR18621,West,Sports,2022-09-23,2022-09-24,2022-09-30,Standard,111.0,Delivered,6
8622,OR18622,Central,Home,2025-10-08,2025-10-10,2025-10-15,Same Day,299.0,Delivered,5
8623,OR18623,North,Grocery,2023-05-02,2023-05-04,2023-05-07,Standard,124.0,Delivered,3
8624,OR18624,South,Electronics,2024-06-09,2024-06-10,2024-06-13,Express,161.0,Delivered,3
8625,OR18625,South,Beauty,2024-07-02,2024-07-03,2024-07-12,Standard,63.0,Delayed,9
8626,OR18626,North,Sports,2024-06-23,2024-06-28,2024-07-04,Standard,108.0,Delivered,6
8627,OR18627,West,Sports,2025-05-28,2025-05-31,2025-06-06,Standard,121.0,Delivered,6
8628,OR18628,Central,Home,2023-10-28,2023-11-01,2023-11-11,Standard,85.0,Delivered,10
8629,OR18629,East,Sports,2024-10-05,2024-10-05,2024-10-15,Standard,56.0,Delivered,10
8630,OR18630,North,Sports,2022-02-12,2022-02-17,2022-02-27,Express,179.0,Delayed,10
8631,OR18631,Central,Grocery,2023-06-29,2023-07-03,2023-07-07,Standard,79.0,Delayed,4
8632,OR18632,Central,Home,2024-02-27,2024-03-02,2024-03-09,Standard,121.0,Delivered,7
8633,OR18633,South,Beauty,2024-11-05,2024-11-05,2024-11-15,Standard,129.0,Delayed,10
8634,OR18634,East,Sports,2023-11-03,2023-11-04,2023-11-14,Standard,140.0,Delivered,10
8635,OR18635,North,Fashion,2023-06-07,2023-06-08,2023-06-11,Express,103.0,Delivered,3
8636,OR18636,South,Home,2024-10-02,2024-10-07,2024-10-16,Express,123.0,Delivered,9
8637,OR18637,South,Grocery,2025-02-05,2025-02-10,2025-02-13,Standard,126.0,Delivered,3
8638,OR18638,West,Beauty,2023-09-08,2023-09-10,2023-09-18,Standard,118.0,Delivered,8
8639,OR18639,Central,Electronics,2022-11-14,2022-11-14,2022-11-24,Standard,67.0,Delivered,10
8640,OR18640,North,Sports,2025-02-16,2025-02-21,2025-03-02,Same Day,220.0,Delivered,9
8641,OR18641,North,Fashion,2022-01-01,2022-01-03,2022-01-07,Express,242.0,Delivered,4
8642,OR18642,North,Fashion,2024-01-12,2024-01-15,2024-01-22,Standard,76.0,Delivered,7
8643,OR18643,South,Electronics,2024-02-19,2024-02-20,2024-02-27,Standard,130.0,Delivered,7
8644,OR18644,West,Home,2022-11-09,2022-11-12,2022-11-15,Express,86.0,Delivered,3
8645,OR18645,East,Grocery,2025-01-01,2025-01-05,2025-01-13,Standard,111.0,Delayed,8
8646,OR18646,South,Sports,2022-11-24,2022-11-28,2022-12-07,Same Day,234.0,Delivered,9
8647,OR18647,East,Sports,2023-08-30,2023-08-30,2023-09-06,Same Day,294.0,Delivered,7
8648,OR18648,West,Beauty,2025-05-20,2025-05-20,2025-05-28,Standard,75.0,Delivered,8
8649,OR18649,Central,Sports,2022-05-27,2022-05-28,2022-06-02,Standard,116.0,Delivered,5
8650,OR18650,North,Fashion,2022-04-29,2022-04-29,2022-05-09,Same Day,374.0,Delivered,10
8651,OR18651,East,Home,2022-10-14,2022-10-15,2022-10-18,Standard,125.0,Returned,3
8652,OR18652,South,Electronics,2022-01-22,2022-01-25,2022-01-31,Express,156.0,Delayed,6
8653,OR18653,East,Home,2024-09-06,2024-09-06,2024-09-09,Express,174.0,Delivered,3
8654,OR18654,Central,Grocery,2022-05-01,2022-05-05,2022-05-11,Standard,52.0,Delayed,6
8655,OR18655,North,Grocery,2025-01-04,2025-01-05,2025-01-15,Standard,61.0,Delivered,10
8656,OR18656,East,Electronics,2025-01-11,2025-01-14,2025-01-16,Standard,121.0,Delivered,2
8657,OR18657,Central,Fashion,2022-12-23,2022-12-25,2022-12-30,Express,166.0,Delivered,5
8658,OR18658,South,Beauty,2023-08-01,2023-08-02,2023-08-09,Express,190.0,Delivered,7
8659,OR18659,West,Electronics,2025-07-07,2025-07-11,2025-07-16,Standard,144.0,Delivered,5
8660,OR18660,South,Beauty,2023-11-01,2023-11-01,2023-11-06,Standard,129.0,Delivered,5
8661,OR18661,North,Grocery,2022-05-31,2022-06-03,2022-06-05,Standard,64.0,Delivered,2
8662,OR18662,South,Fashion,2024-08-11,2024-08-16,2024-08-18,Standard,97.0,Delivered,2
8663,OR18663,South,Home,2024-02-28,2024-03-01,2024-03-05,Express,137.0,Delivered,4
8664,OR18664,South,Grocery,2024-08-12,2024-08-12,2024-08-17,Express,184.0,Returned,5
8665,OR18665,South,Fashion,2023-06-03,2023-06-04,2023-06-12,Standard,60.0,Delayed,8
8666,OR18666,North,Fashion,2022-04-15,2022-04-19,2022-04-27,Express,140.0,Delivered,8
8667,OR18667,Central,Sports,2022-07-22,2022-07-24,2022-07-26,Standard,93.0,Delivered,2
8668,OR18668,East,Home,2025-05-14,2025-05-16,2025-05-26,Standard,130.0,Delivered,10
8669,OR18669,West,Fashion,2024-08-16,2024-08-16,2024-08-19,Same Day,300.0,Delayed,3
8670,OR18670,East,Electronics,2022-07-14,2022-07-17,2022-07-19,Standard,89.0,Delivered,2
8671,OR18671,East,Beauty,2022-11-19,2022-11-23,2022-11-26,Standard,107.0,Delivered,3
8672,OR18672,West,Home,2022-08-04,2022-08-07,2022-08-16,Standard,123.0,Delivered,9
8673,OR18673,North,Home,2022-02-01,2022-02-04,2022-02-10,Standard,142.0,Delivered,6
8674,OR18674,West,Grocery,2024-01-04,2024-01-07,2024-01-09,Standard,78.0,Delayed,2
8675,OR18675,North,Home,2023-11-07,2023-11-07,2023-11-09,Standard,94.0,Delivered,2
8676,OR18676,East,Home,2024-06-17,2024-06-20,2024-06-24,Same Day,229.0,Delivered,4
8677,OR18677,North,Sports,2024-12-29,2024-12-31,2025-01-03,Express,196.0,Delivered,3
8678,OR18678,Central,Home,2023-11-27,2023-12-02,2023-12-09,Standard,105.0,Delivered,7
8679,OR18679,West,Beauty,2023-09-11,2023-09-15,2023-09-18,Standard,87.0,Delivered,3
8680,OR18680,Central,Beauty,2023-08-03,2023-08-05,2023-08-11,Express,98.0,Delivered,6
8681,OR18681,East,Beauty,2024-12-27,2024-12-28,2025-01-05,Express,209.0,Delivered,8
8682,OR18682,West,Fashion,2025-03-10,2025-03-13,2025-03-17,Standard,51.0,Delivered,4
8683,OR18683,East,Electronics,2024-08-02,2024-08-05,2024-08-10,Standard,102.0,Delivered,5
8684,OR18684,Central,Beauty,2024-02-02,2024-02-07,2024-02-17,Express,88.0,Delivered,10
8685,OR18685,East,Sports,2025-06-12,2025-06-12,2025-06-20,Standard,126.0,Delivered,8
8686,OR18686,West,Sports,2024-08-20,2024-08-20,2024-08-30,Express,169.0,Delivered,10
8687,OR18687,West,Sports,2025-10-10,2025-10-11,2025-10-14,Standard,69.0,Delivered,3
8688,OR18688,East,Sports,2023-05-07,2023-05-11,2023-05-19,Standard,124.0,Delivered,8
8689,OR18689,West,Grocery,2024-03-25,2024-03-27,2024-03-29,Same Day,370.0,Delayed,2
8690,OR18690,West,Sports,2024-11-13,2024-11-17,2024-11-20,Standard,89.0,Delivered,3
8691,OR18691,East,Grocery,2024-11-29,2024-11-30,2024-12-06,Standard,60.0,Delivered,6
8692,OR18692,Central,Grocery,2025-08-29,2025-09-02,2025-09-07,Standard,84.0,Delayed,5
8693,OR18693,West,Home,2023-01-01,2023-01-01,2023-01-04,Standard,90.0,Delivered,3
8694,OR18694,West,Electronics,2025-06-07,2025-06-09,2025-06-17,Standard,98.0,Delayed,8
8695,OR18695,West,Home,2024-04-16,2024-04-21,2024-04-28,Standard,148.0,Delivered,7
8696,OR18696,West,Grocery,2025-09-04,2025-09-06,2025-09-15,Standard,134.0,Delivered,9
8697,OR18697,East,Home,2023-05-15,2023-05-18,2023-05-22,Standard,61.0,Delivered,4
8698,OR18698,Central,Fashion,2025-03-16,2025-03-19,2025-03-22,Standard,71.0,Delivered,3
8699,OR18699,Central,Sports,2023-03-31,2023-03-31,2023-04-09,Standard,132.0,Delivered,9
8700,OR18700,North,Sports,2025-08-02,2025-08-05,2025-08-13,Express,102.0,Delivered,8
8701,OR18701,West,Grocery,2023-08-24,2023-08-27,2023-09-03,Express,115.0,Delivered,7
8702,OR18702,West,Home,2025-05-08,2025-05-08,2025-05-13,Standard,143.0,Delivered,5
8703,OR18703,North,Fashion,2022-09-05,2022-09-09,2022-09-12,Standard,,Delivered,3
8704,OR18704,Central,Fashion,2023-05-10,2023-05-14,2023-05-19,Standard,111.0,Delayed,5
8705,OR18705,South,Beauty,2025-06-01,2025-06-02,2025-06-06,Standard,91.0,Delayed,4
8706,OR18706,South,Fashion,2025-06-15,2025-06-17,2025-06-21,Express,180.0,Delivered,4
8707,OR18707,Central,Grocery,2024-09-24,2024-09-28,2024-10-02,Standard,119.0,Delivered,4
8708,OR18708,West,Beauty,2024-06-20,2024-06-20,2024-06-24,Express,163.0,Delivered,4
8709,OR18709,South,Home,2023-09-12,2023-09-17,2023-09-25,Standard,70.0,Delayed,8
8710,OR18710,East,Fashion,2023-09-01,2023-09-03,2023-09-07,Express,196.0,Delivered,4
8711,OR18711,East,Fashion,2024-01-28,2024-01-29,2024-02-01,Standard,139.0,Delivered,3
8712,OR18712,North,Home,2025-06-05,2025-06-07,2025-06-13,Standard,55.0,Delivered,6
8713,OR18713,Central,Home,2023-07-13,2023-07-16,2023-07-18,Express,196.0,Delivered,2
8714,OR18714,Central,Sports,2025-10-07,2025-10-07,2025-10-15,Express,117.0,Delivered,8
8715,OR18715,South,Electronics,2024-08-09,2024-08-10,2024-08-20,Standard,103.0,Delivered,10
8716,OR18716,West,Electronics,2024-12-12,2024-12-13,2024-12-22,Express,171.0,Delivered,9
8717,OR18717,Central,Fashion,2023-12-21,2023-12-22,2023-12-25,Standard,138.0,Delayed,3
8718,OR18718,South,Home,2023-04-02,2023-04-02,2023-04-09,Standard,126.0,Delivered,7
8719,OR18719,South,Sports,2022-11-02,2022-11-03,2022-11-10,Standard,95.0,Delivered,7
8720,OR18720,Central,Grocery,2025-07-07,2025-07-10,2025-07-17,Standard,89.0,Delivered,7
8721,OR18721,South,Electronics,2024-06-25,2024-06-28,2024-07-07,Standard,84.0,Delivered,9
8722,OR18722,North,Beauty,2024-11-13,2024-11-17,2024-11-25,Same Day,283.0,Delivered,8
8723,OR18723,North,Electronics,2022-08-27,2022-08-28,2022-09-03,Standard,131.0,Delivered,6
8724,OR18724,Central,Home,2025-03-28,2025-03-30,2025-04-01,Express,110.0,Delivered,2
8725,OR18725,West,Grocery,2025-09-29,2025-09-30,2025-10-02,Standard,,Delayed,2
8726,OR18726,North,Electronics,2025-10-31,2025-11-02,2025-11-12,Express,105.0,Delivered,10
8727,OR18727,North,Sports,2025-01-16,2025-01-19,2025-01-24,Standard,87.0,Delivered,5
8728,OR18728,Central,Electronics,2025-06-28,2025-07-01,2025-07-03,Express,180.0,Delivered,2
8729,OR18729,East,Home,2025-01-16,2025-01-21,2025-01-26,Standard,86.0,Delivered,5
8730,OR18730,South,Home,2025-10-11,2025-10-14,2025-10-21,Same Day,273.0,Delivered,7
8731,OR18731,North,Beauty,2022-06-09,2022-06-09,2022-06-12,Standard,70.0,Delivered,3
8732,OR18732,East,Beauty,2025-01-07,2025-01-09,2025-01-15,Standard,111.0,Delayed,6
8733,OR18733,West,Grocery,2022-11-11,2022-11-15,2022-11-17,Standard,123.0,Delivered,2
8734,OR18734,East,Electronics,2024-01-13,2024-01-14,2024-01-23,Standard,90.0,Delivered,9
8735,OR18735,Central,Grocery,2023-06-08,2023-06-10,2023-06-20,Same Day,276.0,Delayed,10
8736,OR18736,West,Electronics,2024-02-24,2024-02-26,2024-02-28,Standard,136.0,Delivered,2
8737,OR18737,West,Fashion,2023-09-10,2023-09-15,2023-09-17,Standard,83.0,Delivered,2
8738,OR18738,East,Electronics,2024-06-16,2024-06-19,2024-06-26,Standard,77.0,Delivered,7
8739,OR18739,Central,Home,2025-12-17,2025-12-17,2025-12-25,Express,211.0,Delivered,8
8740,OR18740,North,Home,2024-10-10,2024-10-12,2024-10-19,Express,156.0,Delivered,7
8741,OR18741,East,Fashion,2024-03-28,2024-03-28,2024-04-01,Standard,56.0,Delivered,4
8742,OR18742,North,Electronics,2023-03-30,2023-03-30,2023-04-06,Same Day,311.0,Returned,7
8743,OR18743,East,Electronics,2024-03-29,2024-04-03,2024-04-07,Standard,133.0,Delivered,4
8744,OR18744,North,Home,2024-01-23,2024-01-23,2024-01-30,Standard,117.0,Returned,7
8745,OR18745,East,Fashion,2022-06-02,2022-06-03,2022-06-05,Standard,147.0,Delivered,2
8746,OR18746,West,Home,2022-09-04,2022-09-06,2022-09-11,Same Day,347.0,Delivered,5
8747,OR18747,South,Fashion,2022-11-09,2022-11-12,2022-11-17,Standard,126.0,Delivered,5
8748,OR18748,West,Home,2024-07-12,2024-07-14,2024-07-23,Express,198.0,Delayed,9
8749,OR18749,North,Sports,2022-10-09,2022-10-09,2022-10-11,Standard,122.0,Delivered,2
8750,OR18750,Central,Electronics,2022-07-15,2022-07-17,2022-07-25,Express,103.0,Delayed,8
8751,OR18751,West,Grocery,2022-01-29,2022-02-01,2022-02-06,Standard,65.0,Delivered,5
8752,OR18752,South,Sports,2022-03-20,2022-03-25,2022-03-28,Same Day,208.0,Delivered,3
8753,OR18753,North,Home,2022-07-02,2022-07-05,2022-07-07,Express,88.0,Delivered,2
8754,OR18754,West,Fashion,2024-01-08,2024-01-13,2024-01-19,Standard,143.0,Delivered,6
8755,OR18755,East,Grocery,2025-10-08,2025-10-13,2025-10-16,Standard,144.0,Delivered,3
8756,OR18756,Central,Fashion,2023-06-01,2023-06-06,2023-06-16,Standard,113.0,Delivered,10
8757,OR18757,North,Beauty,2024-04-05,2024-04-05,2024-04-11,Standard,92.0,Delivered,6
8758,OR18758,West,Fashion,2024-05-15,2024-05-18,2024-05-23,Standard,75.0,Delivered,5
8759,OR18759,North,Beauty,2024-07-06,2024-07-06,2024-07-13,Express,119.0,Delivered,7
8760,OR18760,East,Beauty,2022-02-06,2022-02-11,2022-02-13,Express,166.0,Delivered,2
8761,OR18761,South,Electronics,2022-03-15,2022-03-17,2022-03-27,Standard,66.0,Delivered,10
8762,OR18762,West,Home,2025-02-18,2025-02-22,2025-03-02,Express,198.0,Delivered,8
8763,OR18763,North,Electronics,2024-11-03,2024-11-05,2024-11-11,Standard,134.0,Delivered,6
8764,OR18764,North,Beauty,2022-10-17,2022-10-21,2022-10-25,Express,218.0,Delivered,4
8765,OR18765,North,Fashion,2023-07-19,2023-07-21,2023-07-30,Standard,125.0,Delivered,9
8766,OR18766,South,Electronics,2025-09-24,2025-09-27,2025-10-07,Standard,141.0,Delayed,10
8767,OR18767,North,Sports,2023-06-17,2023-06-19,2023-06-27,Standard,79.0,Delivered,8
8768,OR18768,Central,Beauty,2024-03-15,2024-03-17,2024-03-25,Standard,89.0,Delivered,8
8769,OR18769,Central,Fashion,2025-12-02,2025-12-07,2025-12-10,Standard,141.0,Returned,3
8770,OR18770,North,Fashion,2025-06-06,2025-06-08,2025-06-17,Standard,61.0,Delivered,9
8771,OR18771,Central,Sports,2024-02-24,2024-02-25,2024-02-29,Express,144.0,Delivered,4
8772,OR18772,West,Fashion,2024-03-24,2024-03-29,2024-04-06,Standard,63.0,Delivered,8
8773,OR18773,Central,Grocery,2022-08-16,2022-08-21,2022-08-29,Standard,143.0,Returned,8
8774,OR18774,North,Grocery,2022-06-08,2022-06-09,2022-06-13,Standard,94.0,Delayed,4
8775,OR18775,East,Home,2024-12-09,2024-12-13,2024-12-21,Standard,79.0,Delivered,8
8776,OR18776,West,Home,2025-04-16,2025-04-21,2025-04-23,Express,219.0,Delivered,2
8777,OR18777,South,Electronics,2022-10-26,2022-10-27,2022-11-06,Standard,60.0,Delivered,10
8778,OR18778,North,Electronics,2023-06-13,2023-06-14,2023-06-16,Express,203.0,Delivered,2
8779,OR18779,South,Sports,2024-01-04,2024-01-09,2024-01-17,Express,213.0,Delayed,8
8780,OR18780,East,Sports,2024-08-03,2024-08-08,2024-08-10,Express,174.0,Delivered,2
8781,OR18781,South,Beauty,2022-07-09,2022-07-14,2022-07-22,Express,180.0,Delivered,8
8782,OR18782,North,Fashion,2022-02-06,2022-02-09,2022-02-13,Standard,136.0,Delivered,4
8783,OR18783,North,Home,2023-10-18,2023-10-21,2023-10-25,Express,143.0,Returned,4
8784,OR18784,East,Beauty,2022-03-18,2022-03-22,2022-03-25,Standard,139.0,Delivered,3
8785,OR18785,North,Home,2023-04-08,2023-04-11,2023-04-18,Standard,128.0,Returned,7
8786,OR18786,East,Home,2023-04-22,2023-04-26,2023-05-01,Standard,120.0,Delivered,5
8787,OR18787,East,Home,2022-11-12,2022-11-15,2022-11-19,Standard,126.0,Delayed,4
8788,OR18788,North,Electronics,2022-05-04,2022-05-08,2022-05-16,Standard,88.0,Delivered,8
8789,OR18789,Central,Grocery,2025-12-29,2026-01-02,2026-01-04,Same Day,243.0,Delivered,2
8790,OR18790,East,Beauty,2024-05-15,2024-05-17,2024-05-24,Express,234.0,Returned,7
8791,OR18791,North,Sports,2022-11-16,2022-11-20,2022-11-29,Standard,128.0,Delivered,9
8792,OR18792,Central,Sports,2023-04-27,2023-05-01,2023-05-08,Standard,86.0,Delivered,7
8793,OR18793,East,Home,2025-11-05,2025-11-09,2025-11-19,Standard,146.0,Delivered,10
8794,OR18794,Central,Home,2023-10-09,2023-10-14,2023-10-24,Express,207.0,Delivered,10
8795,OR18795,West,Electronics,2024-04-12,2024-04-12,2024-04-21,Express,240.0,Delayed,9
8796,OR18796,West,Electronics,2022-07-11,2022-07-15,2022-07-19,Standard,85.0,Delayed,4
8797,OR18797,Central,Sports,2025-03-15,2025-03-17,2025-03-19,Standard,147.0,Delivered,2
8798,OR18798,East,Home,2023-04-25,2023-04-25,2023-05-03,Standard,85.0,Delivered,8
8799,OR18799,North,Home,2023-12-02,2023-12-07,2023-12-11,Standard,141.0,Delivered,4
8800,OR18800,South,Beauty,2022-05-08,2022-05-10,2022-05-12,Standard,84.0,Delayed,2
8801,OR18801,North,Sports,2025-05-18,2025-05-20,2025-05-23,Standard,123.0,Delivered,3
8802,OR18802,South,Electronics,2024-11-05,2024-11-10,2024-11-17,Standard,119.0,Delivered,7
8803,OR18803,South,Beauty,2024-04-12,2024-04-17,2024-04-23,Standard,63.0,Delayed,6
8804,OR18804,East,Sports,2023-03-21,2023-03-23,2023-03-30,Standard,137.0,Delivered,7
8805,OR18805,Central,Electronics,2025-09-16,2025-09-19,2025-09-28,Standard,121.0,Delayed,10
8806,OR18806,North,Electronics,2024-06-12,2024-06-17,2024-06-20,Express,85.0,Delivered,3
8807,OR18807,Central,Beauty,2022-07-11,2022-07-15,2022-07-22,Standard,65.0,Delivered,7
8808,OR18808,West,Beauty,2022-10-13,2022-10-16,2022-10-23,Express,168.0,Delivered,7
8809,OR18809,East,Electronics,2024-01-15,2024-01-20,2024-01-27,Standard,75.0,Delivered,7
8810,OR18810,East,Home,2023-08-27,2023-08-29,2023-09-05,Standard,55.0,Delivered,7
8811,OR18811,West,Sports,2023-10-12,2023-10-17,2023-10-23,Standard,102.0,Delivered,6
8812,OR18812,North,Electronics,2023-08-10,2023-08-14,2023-08-21,Standard,85.0,Delivered,7
8813,OR18813,West,Grocery,2022-03-11,2022-03-13,2022-03-19,Standard,100.0,Delivered,6
8814,OR18814,North,Electronics,2024-03-07,2024-03-10,2024-03-13,Standard,59.0,Delivered,3
8815,OR18815,South,Electronics,2022-01-22,2022-01-27,2022-02-02,Standard,148.0,Delivered,6
8816,OR18816,East,Beauty,2023-02-02,2023-02-03,2023-02-05,Standard,61.0,Delivered,2
8817,OR18817,North,Electronics,2024-06-20,2024-06-20,2024-06-23,Standard,56.0,Delivered,3
8818,OR18818,Central,Fashion,2022-10-27,2022-11-01,2022-11-10,Standard,90.0,Delivered,6
8819,OR18819,Central,Beauty,2022-03-04,2022-03-06,2022-03-12,Standard,73.0,Delivered,6
8820,OR18820,East,Grocery,2023-11-21,2023-11-24,2023-11-29,Express,244.0,Delivered,5
8821,OR18821,West,Home,2024-10-14,2024-10-17,,Standard,84.0,Delivered,3
8822,OR18822,West,Beauty,2025-10-30,2025-11-03,2025-11-11,Express,174.0,Delivered,8
